Car Design,Frontal Area (m²)
E_S_WWC_WM_315,2.188
E_S_WWC_WM_129,2.438
E_S_WWC_WM_191,2.172
E_S_WWC_WM_565,2.112
E_S_WWC_WM_512,2.398
E_S_WWC_WM_311,2.026
E_S_WWC_WM_476,2.548
E_S_WWC_WM_383,2.514
E_S_WWC_WM_039,2.268
E_S_WWC_WM_100,2.054
E_S_WWC_WM_428,2.196
E_S_WWC_WM_412,2.184
E_S_WWC_WM_596,2.06
E_S_WWC_WM_015,2.534
E_S_WWC_WM_698,2.134
E_S_WWC_WM_308,2.422
E_S_WWC_WM_132,2.138
E_S_WWC_WM_560,2.308
E_S_WWC_WM_641,2.01
E_S_WWC_WM_122,2.448
E_S_WWC_WM_068,2.316
E_S_WWC_WM_506,2.08
E_S_WWC_WM_390,2.19
E_S_WWC_WM_691,2.474
E_S_WWC_WM_439,2.264
E_S_WWC_WM_534,2.21
E_S_WWC_WM_553,2.312
E_S_WWC_WM_332,2.068
E_S_WWC_WM_078,2.266
E_S_WWC_WM_660,2.558
E_S_WWC_WM_358,2.396
E_S_WWC_WM_600,2.302
E_S_WWC_WM_263,2.436
E_S_WWC_WM_644,2.614
E_S_WWC_WM_367,2.128
E_S_WWC_WM_085,2.536
E_S_WWC_WM_219,2.132
E_S_WWC_WM_404,2.324
E_S_WWC_WM_224,2.292
E_S_WWC_WM_615,2.146
E_S_WWC_WM_027,2.276
E_S_WWC_WM_125,2.264
E_S_WWC_WM_681,2.03
E_S_WWC_WM_680,2.15
E_S_WWC_WM_319,2.118
E_S_WWC_WM_610,2.42
E_S_WWC_WM_603,2.612
E_S_WWC_WM_164,2.388
E_S_WWC_WM_531,2.112
E_S_WWC_WM_524,2.324
E_S_WWC_WM_674,2.354
E_S_WWC_WM_409,2.502
E_S_WWC_WM_217,2.52
E_S_WWC_WM_211,2.382
E_S_WWC_WM_284,2.474
E_S_WWC_WM_112,2.388
E_S_WWC_WM_317,2.11
E_S_WWC_WM_174,2.384
E_S_WWC_WM_574,2.398
E_S_WWC_WM_337,2.186
E_S_WWC_WM_194,2.254
E_S_WWC_WM_631,2.47
E_S_WWC_WM_551,2.418
E_S_WWC_WM_289,2.07
E_S_WWC_WM_577,2.438
E_S_WWC_WM_255,2.096
E_S_WWC_WM_567,2.21
E_S_WWC_WM_365,2.376
E_S_WWC_WM_568,2.254
E_S_WWC_WM_169,2.194
E_S_WWC_WM_624,2.08
E_S_WWC_WM_555,2.406
E_S_WWC_WM_673,2.674
E_S_WWC_WM_312,2.078
E_S_WWC_WM_423,2.188
E_S_WWC_WM_605,2.562
E_S_WWC_WM_454,2.092
E_S_WWC_WM_411,2.248
E_S_WWC_WM_187,2.47
E_S_WWC_WM_655,2.148
E_S_WWC_WM_379,2.084
E_S_WWC_WM_356,2.48
E_S_WWC_WM_532,2.244
E_S_WWC_WM_497,2.35
E_S_WWC_WM_262,2.252
E_S_WWC_WM_465,2.172
E_S_WWC_WM_229,2.27
E_S_WWC_WM_283,2.336
E_S_WWC_WM_563,2.368
E_S_WWC_WM_010,2.34
E_S_WWC_WM_569,2.254
E_S_WWC_WM_474,2.502
E_S_WWC_WM_612,2.064
E_S_WWC_WM_355,2.174
E_S_WWC_WM_527,2.228
E_S_WWC_WM_047,2.374
E_S_WWC_WM_330,2.588
E_S_WWC_WM_060,2.278
E_S_WWC_WM_372,2.026
E_S_WWC_WM_153,2.486
E_S_WWC_WM_029,2.292
E_S_WWC_WM_623,2.472
E_S_WWC_WM_452,2.482
E_S_WWC_WM_091,2.14
E_S_WWC_WM_468,2.282
E_S_WWC_WM_585,2.414
E_S_WWC_WM_436,2.228
E_S_WWC_WM_058,2.644
E_S_WWC_WM_248,2.646
E_S_WWC_WM_348,2.586
E_S_WWC_WM_277,1.9488
E_S_WWC_WM_307,2.068
E_S_WWC_WM_672,2.114
E_S_WWC_WM_651,2.574
E_S_WWC_WM_376,2.272
E_S_WWC_WM_343,2.242
E_S_WWC_WM_366,2.116
E_S_WWC_WM_598,2.236
E_S_WWC_WM_341,2.252
E_S_WWC_WM_370,2.558
E_S_WWC_WM_190,2.468
E_S_WWC_WM_514,2.07
E_S_WWC_WM_479,2.008
E_S_WWC_WM_511,2.54
E_S_WWC_WM_450,2.584
E_S_WWC_WM_017,2.504
E_S_WWC_WM_437,2.282
E_S_WWC_WM_234,2.216
E_S_WWC_WM_490,2.494
E_S_WWC_WM_189,2.042
E_S_WWC_WM_408,2.006
E_S_WWC_WM_300,2.246
E_S_WWC_WM_028,2.438
E_S_WWC_WM_661,2.24
E_S_WWC_WM_093,2.336
E_S_WWC_WM_161,2.062
E_S_WWC_WM_222,2.232
E_S_WWC_WM_119,2.368
E_S_WWC_WM_301,2.176
E_S_WWC_WM_020,2.172
E_S_WWC_WM_057,2.3
E_S_WWC_WM_489,2.412
E_S_WWC_WM_175,2.148
E_S_WWC_WM_664,2.294
E_S_WWC_WM_259,2.32
E_S_WWC_WM_669,2.03
E_S_WWC_WM_587,2.658
E_S_WWC_WM_444,2.26
E_S_WWC_WM_240,2.582
E_S_WWC_WM_327,2.46
E_S_WWC_WM_402,2.23
E_S_WWC_WM_223,2.414
E_S_WWC_WM_588,2.408
E_S_WWC_WM_230,2.126
E_S_WWC_WM_592,2.262
E_S_WWC_WM_252,2.492
E_S_WWC_WM_110,2.636
E_S_WWC_WM_042,2.264
E_S_WWC_WM_195,2.498
E_S_WWC_WM_455,2.498
E_S_WWC_WM_530,2.526
E_S_WWC_WM_051,2.174
E_S_WWC_WM_676,2.444
E_S_WWC_WM_094,2.396
E_S_WWC_WM_381,2.506
E_S_WWC_WM_214,2.27
E_S_WWC_WM_148,2.23
E_S_WWC_WM_166,2.298
E_S_WWC_WM_385,2.322
E_S_WWC_WM_070,2.162
E_S_WWC_WM_239,2.544
E_S_WWC_WM_106,2.042
E_S_WWC_WM_322,2.246
E_S_WWC_WM_435,2.458
E_S_WWC_WM_218,2.416
E_S_WWC_WM_282,2.274
E_S_WWC_WM_392,2.354
E_S_WWC_WM_118,2.144
E_S_WWC_WM_562,2.598
E_S_WWC_WM_236,2.5
E_S_WWC_WM_055,2.318
E_S_WWC_WM_547,2.514
E_S_WWC_WM_505,2.196
E_S_WWC_WM_147,2.276
E_S_WWC_WM_155,2.184
E_S_WWC_WM_410,2.55
E_S_WWC_WM_486,2.35
E_S_WWC_WM_432,2.33
E_S_WWC_WM_049,2.594
E_S_WWC_WM_471,2.538
E_S_WWC_WM_232,2.388
E_S_WWC_WM_034,2.056
E_S_WWC_WM_549,2.018
E_S_WWC_WM_599,2.454
E_S_WWC_WM_176,2.25
E_S_WWC_WM_677,2.032
E_S_WWC_WM_171,2.318
E_S_WWC_WM_387,2.256
E_S_WWC_WM_628,2.59
E_S_WWC_WM_030,2.366
E_S_WWC_WM_265,2.248
E_S_WWC_WM_382,2.424
E_S_WWC_WM_149,2.218
E_S_WWC_WM_466,2.38
E_S_WWC_WM_019,2.022
E_S_WWC_WM_687,2.152
E_S_WWC_WM_025,2.688
E_S_WWC_WM_117,2.622
E_S_WWC_WM_694,2.428
E_S_WWC_WM_170,2.326
E_S_WWC_WM_115,2.366
E_S_WWC_WM_035,2.38
E_S_WWC_WM_401,2.336
E_S_WWC_WM_250,2.266
E_S_WWC_WM_451,2.55
E_S_WWC_WM_389,2.05
E_S_WWC_WM_456,2.484
E_S_WWC_WM_244,2.078
E_S_WWC_WM_066,2.348
E_S_WWC_WM_178,2.424
E_S_WWC_WM_421,2.41
E_S_WWC_WM_359,2.358
E_S_WWC_WM_267,2.462
E_S_WWC_WM_210,2.204
E_S_WWC_WM_067,2.388
E_S_WWC_WM_649,2.252
E_S_WWC_WM_241,2.242
E_S_WWC_WM_529,2.35
E_S_WWC_WM_150,2.162
E_S_WWC_WM_095,2.182
E_S_WWC_WM_537,2.54
E_S_WWC_WM_685,2.61
E_S_WWC_WM_245,2.35
E_S_WWC_WM_414,2.186
E_S_WWC_WM_005,2.498
E_S_WWC_WM_292,2.478
E_S_WWC_WM_328,2.278
E_S_WWC_WM_386,2.026
E_S_WWC_WM_206,2.256
E_S_WWC_WM_403,2.242
E_S_WWC_WM_507,2.502
E_S_WWC_WM_096,2.2
E_S_WWC_WM_299,2.334
E_S_WWC_WM_088,2.296
E_S_WWC_WM_566,2.092
E_S_WWC_WM_065,2.334
E_S_WWC_WM_540,2.072
E_S_WWC_WM_235,2.44
E_S_WWC_WM_652,2.136
E_S_WWC_WM_554,2.188
E_S_WWC_WM_258,2.436
E_S_WWC_WM_352,2.188
